"TotalSF","OverallQual2","YearBuilt","GarageCars","LotArea","KitchenQual","GarageType","FireplaceQu","Target"
1134,"Average",1913,1,4280,"Good","Detached","Good",90350
1880,"Average",1920,2,12354,"Good","Detached","No Fireplace",110000
5496,"Above Average",2008,3,15431,"Excellent","Attached","Good",555000
2880,"Below Average",1955,0,12108,"Fair","No Garage","No Fireplace",118000
2651,"Average",1930,2,6240,"Average","Detached","Good",162900
2516,"Average",2006,3,3922,"Good","Attached","Good",172500
2823,"Average",1994,2,8750,"Good","Attached","Average",210000
3125,"Average",1956,2,9855,"Average","Attached","Good",127500
3405,"Average",1966,2,16492,"Good","Attached","Good",190000
2816,"Average",1998,2,11214,"Good","Attached","Average",199900
2156,"Average",1937,1,8600,"Average","Detached","Good",119500
1832,"Average",1948,1,6000,"Average","Detached","No Fireplace",120000
1626,"Average",1930,1,5684,"Good","Detached","No Fireplace",110000
3066,"Average",1975,2,70761,"Good","Attached","Average",280000
2628,"Average",1996,2,9303,"Average","Attached","No Fireplace",204000
2358,"Above Average",2008,2,9000,"Good","Attached","No Fireplace",210000
3456,"Average",1976,2,9297,"Average","Detached","No Fireplace",188000
2484,"Average",1973,2,9600,"Average","Attached","Average",175500
1968,"Average",1916,3,4571,"Average","Detached","No Fireplace",98000
3027,"Average",1954,2,53227,"Good","Attached","Good",256000
2254,"Above Average",1925,1,5100,"Good","Detached","Good",161000
1912,"Below Average",1950,1,7015,"Good","Detached","Average",110000
2767,"Above Average",2009,2,8004,"Average","Built In","No Fireplace",263435
1695,"Average",1936,2,7200,"Good","Detached","No Fireplace",155000
1728,"Average",1965,1,8281,"Average","Detached","Poor",62383
2375,"Average",1934,1,11988,"Average","Detached","Good",188700
2080,"Average",1978,0,8430,"Average","No Garage","No Fireplace",124000
2789,"Average",2004,2,3072,"Good","Attached","Average",178740
2554,"Average",1970,2,10628,"Average","Attached","Poor",167000
2372,"Average",1942,1,9480,"Good","Attached","Good",146500
3260,"Above Average",2006,3,11428,"Good","Attached","Good",250000
2542,"Average",1993,2,9291,"Good","Attached","No Fireplace",187000
2990,"Above Average",1985,2,6820,"Good","Attached","No Fireplace",212000
2777,"Average",1977,2,11952,"Average","Attached","Good",190000
1619,"Average",2005,2,3675,"Average","Basement Garage","No Fireplace",148000
3952,"Above Average",2006,3,14977,"Good","Attached","Excellent",440000
3146,"Above Average",2000,2,5330,"Excellent","Attached","No Fireplace",251000
1940,"Average",1963,2,8480,"Average","Detached","No Fireplace",132500
2971,"Average",1997,2,13125,"Good","Attached","Average",208900
4796,"Above Average",2006,3,13693,"Excellent","Built In","Good",380000
3423,"Above Average",2007,3,10637,"Good","Attached","Good",297000
2038,"Average",1937,2,5925,"Average","Detached","No Fireplace",89471
3683,"Above Average",2004,3,16033,"Good","Attached","Good",326000
3584,"Above Average",2003,3,11846,"Excellent","Attached","Good",374000
2736,"Average",1915,1,2500,"Excellent","Attached","Good",155000
2432,"Average",1998,2,4500,"Average","Attached","No Fireplace",164000
1998,"Average",1962,1,7758,"Good","Detached","No Fireplace",132500
2226,"Average",1950,1,9600,"Good","Attached","Good",147000
2146,"Average",1965,2,10289,"Average","Attached","No Fireplace",156000
2968,"Average",1971,2,12243,"Average","Attached","Average",175000
3368,"Below Average",1900,2,10800,"Average","Attached","Good",160000
1260,"Average",1970,1,1526,"Good","Attached","No Fireplace",86000
1568,"Average",1976,1,2665,"Average","Built In","Good",115000
2384,"Average",1941,1,9490,"Fair","Attached","Average",133000
2184,"Average",2006,2,15578,"Average","Attached","No Fireplace",172785
2538,"Average",1960,1,7931,"Average","Detached","Fair",155000
1076,"Average",1938,1,5784,"Average","Attached","No Fireplace",91300
1440,"Average",1920,0,7879,"Average","No Garage","No Fireplace",34900
6428,"Above Average",1992,2,12692,"Good","Attached","Good",430000
2846,"Average",1925,1,9120,"Average","Detached","No Fireplace",184000
1763,"Average",1967,1,7800,"Good","Attached","No Fireplace",130000
1824,"Average",1958,1,7535,"Average","Attached","No Fireplace",120000
1890,"Average",1973,1,1890,"Average","Detached","No Fireplace",113000
2634,"Average",2005,2,9803,"Good","Attached","No Fireplace",226700
2428,"Average",1965,2,9170,"Average","Detached","No Fireplace",140000
3302,"Average",1959,2,15602,"Average","Attached","Average",289000
2177,"Average",1974,2,2308,"Average","Attached","Fair",147000
2920,"Average",1952,2,7596,"Average","Detached","No Fireplace",124500
2688,"Above Average",1993,2,9554,"Good","Attached","Average",215000
2436,"Average",2009,2,7862,"Good","Attached","No Fireplace",208300
2067,"Average",1928,2,9600,"Good","Detached","Good",161000
2082,"Average",1959,1,9600,"Average","Attached","No Fireplace",124500
2371,"Average",1951,1,14559,"Average","Car Port","Average",164900
2736,"Average",2005,2,6792,"Good","Attached","Good",202665
1728,"Average",1958,2,9100,"Average","Detached","No Fireplace",129900
2164,"Average",1983,2,9187,"Average","Attached","No Fireplace",134000
1557,"Average",1926,1,10594,"Average","Detached","No Fireplace",96500
4026,"Above Average",2009,3,12220,"Excellent","Attached","Good",402861
2808,"Average",1972,2,10448,"Average","Attached","Average",158000
3608,"Average",1996,3,10208,"Good","Attached","Average",265000
2590,"Average",1998,2,9531,"Average","Attached","No Fireplace",211000
3356,"Average",1926,1,10918,"Good","Detached","Good",234000
1294,"Average",1900,0,10800,"Average","No Garage","No Fireplace",106250
2488,"Average",1957,1,11988,"Average","Attached","Good",150000
2668,"Average",1947,2,5000,"Average","Detached","Good",159000
3777,"Average",1996,3,11787,"Good","Attached","Average",315750
2523,"Average",2005,2,7500,"Good","Attached","Average",176000
1856,"Average",1956,1,13300,"Average","Attached","No Fireplace",132000
4165,"Above Average",2008,3,14948,"Excellent","Attached","Good",446261
1133,"Average",1920,0,9098,"Average","No Garage","No Fireplace",86000
4550,"Below Average",1957,2,32668,"Average","Attached","Average",200624
2970,"Average",1988,2,10200,"Good","Attached","Fair",175000
1973,"Average",1920,2,6155,"Average","Detached","No Fireplace",128000
827,"Average",1955,1,7200,"Average","Detached","Poor",107500
334,"Below Average",1946,0,5000,"Fair","No Garage","No Fireplace",39300
2121,"Above Average",2004,2,9056,"Good","Attached","Good",178000
2464,"Average",1910,0,7000,"Average","No Garage","No Fireplace",107500
2604,"Average",1998,2,8924,"Good","Attached","No Fireplace",188000
1728,"Average",1972,2,12735,"Average","Detached","No Fireplace",111250
2210,"Average",1968,1,11553,"Average","Attached","Fair",158000
3182,"Above Average",2001,2,11423,"Good","Attached","Average",272000
3676,"Above Average",2006,3,14601,"Excellent","Attached","Good",315000
3254,"Above Average",2000,3,11000,"Good","Built In","Average",248000
3330,"Average",1998,2,10140,"Good","Attached","Average",213250
1490,"Average",1998,1,4058,"Average","Attached","No Fireplace",133000
2150,"Average",2006,2,17104,"Good","Attached","Good",179665
3387,"Average",1988,3,13837,"Good","Attached","No Fireplace",229000
2700,"Average",1923,2,8737,"Average","Detached","Good",210000
1536,"Average",1970,2,7244,"Average","Detached","No Fireplace",129500
1650,"Average",1955,2,8235,"Average","Detached","No Fireplace",125000
3006,"Average",2003,2,9375,"Good","Built In","Good",263000
2138,"Average",1977,2,4043,"Average","Attached","No Fireplace",140000
1856,"Average",1957,1,6000,"Average","Attached","No Fireplace",112500
3426,"Above Average",2006,3,11146,"Good","Attached","Good",255500
1126,"Average",1949,2,8777,"Good","Detached","No Fireplace",108000
3044,"Average",2003,3,10625,"Good","Built In","Good",284000
2041,"Average",1922,1,6380,"Average","Detached","Good",113000
2184,"Average",1957,1,14850,"Average","Attached","Average",141000
1973,"Average",1920,1,11040,"Average","Car Port","No Fireplace",108000
2175,"Average",1996,2,21872,"Average","Attached","Average",175000
2931,"Average",2003,2,3196,"Good","Attached","Average",234000
2784,"Average",1957,2,11341,"Average","Detached","Good",121500
2778,"Average",1974,2,10010,"Average","Attached","Average",170000
1992,"Average",1940,0,13907,"Average","No Garage","Good",108000
2837,"Average",1918,2,21780,"Average","Detached","Good",185000
3390,"Average",1992,2,13346,"Good","Attached","Average",268000
2453,"Below Average",1915,1,6858,"Fair","Detached","No Fireplace",128000
3626,"Above Average",2005,3,11198,"Excellent","Built In","Good",325000
3052,"Average",2004,2,10171,"Good","Attached","No Fireplace",214000
3628,"Above Average",1983,2,12327,"Good","Built In","Good",316600
1886,"Average",1979,2,7032,"Average","Detached","Average",135960
3456,"Average",1965,2,13101,"Average","Detached","No Fireplace",142600
1728,"Average",1959,1,7332,"Good","Attached","No Fireplace",120000
2538,"Average",2009,2,13159,"Good","Attached","No Fireplace",224500
1814,"Average",2000,2,9967,"Average","Built In","Average",170000
1481,"Average",1971,1,10500,"Average","Built In","No Fireplace",139000
2048,"Average",1947,1,8480,"Average","Detached","No Fireplace",118500
2338,"Average",1928,1,6292,"Average","Detached","Good",145000
2484,"Average",1966,2,11777,"Average","Attached","Fair",164500
2081,"Average",2007,2,3604,"Good","Detached","No Fireplace",146000
2845,"Average",1954,1,12150,"Average","Attached","No Fireplace",131500
2573,"Average",1960,2,14585,"Good","Attached","Good",181900
4084,"Above Average",2008,3,12704,"Excellent","Attached","Good",253293
1632,"Average",1990,0,11841,"Average","No Garage","No Fireplace",118500
4012,"Above Average",1893,2,13500,"Good","Detached","Good",325000
2457,"Average",1935,1,6120,"Good","Detached","No Fireplace",133000
3896,"Above Average",2005,3,11443,"Good","Attached","Good",369900
1654,"Average",1918,1,10267,"Fair","Detached","No Fireplace",130000
1700,"Average",1982,2,8740,"Average","Detached","No Fireplace",137000
2910,"Average",1968,1,25095,"Excellent","Attached","Good",143000
1677,"Average",1930,1,9100,"Average","Detached","No Fireplace",79500
2352,"Average",2004,2,8320,"Good","Attached","No Fireplace",185900
4018,"Above Average",2008,3,13478,"Excellent","Built In","Good",451950
1632,"Average",1982,2,6600,"Average","Detached","No Fireplace",138000
1696,"Average",2003,2,4435,"Good","Attached","No Fireplace",140000
1848,"Average",1975,1,7990,"Average","Detached","No Fireplace",110000
3640,"Above Average",2005,3,11302,"Good","Attached","Average",319000
2052,"Average",1910,1,3600,"Average","Detached","No Fireplace",114504
2660,"Average",2006,3,3922,"Good","Attached","Good",194201
3077,"Average",1977,2,12984,"Good","Attached","Average",217500
2272,"Average",1980,2,1950,"Average","Attached","Average",151000
2962,"Above Average",2005,2,10927,"Excellent","Built In","Good",275000
2155,"Average",1937,1,9000,"Good","Detached","Good",141000
2823,"Above Average",1992,2,10041,"Good","Attached","Average",220000
1800,"Average",2004,2,3182,"Good","Detached","No Fireplace",151000
2988,"Average",2002,2,12803,"Good","Attached","Average",221000
2754,"Average",1965,2,13600,"Average","Attached","Fair",205000
2080,"Average",1996,2,12464,"Good","Detached","No Fireplace",152000
2904,"Average",1948,1,7800,"Excellent","Attached","No Fireplace",225000
4159,"Above Average",1934,2,12168,"Average","Basement Garage","Good",359100
2058,"Average",1961,1,7943,"Average","Attached","No Fireplace",118500
3593,"Above Average",2000,3,11050,"Excellent","Attached","Excellent",313000
2064,"Average",1978,2,10395,"Average","Attached","Average",148000
3171,"Above Average",2001,2,11885,"Excellent","Built In","Average",261500
2240,"Average",2007,0,8402,"Average","No Garage","No Fireplace",147000
1260,"Average",1972,0,1491,"Average","No Garage","No Fireplace",75500
1990,"Average",1963,2,8800,"Good","Attached","No Fireplace",137500
2292,"Average",2002,2,7861,"Good","Attached","Good",183200
1664,"Average",1954,2,7227,"Good","Detached","No Fireplace",105500
3650,"Above Average",2007,3,11694,"Good","Attached","Good",314813
3744,"Above Average",2003,3,12244,"Good","Attached","Good",305000
1728,"Below Average",1914,0,8248,"Average","No Garage","No Fireplace",67000
4136,"Average",1974,2,10800,"Average","Attached","Average",240000
1960,"Average",1977,2,7064,"Average","Detached","No Fireplace",135000
2268,"Average",2000,2,2117,"Good","Detached","Average",168500
2522,"Average",1972,2,10400,"Average","Attached","Average",165150
2232,"Average",1962,2,10000,"Average","Attached","No Fireplace",160000
2400,"Average",1960,1,12342,"Average","Attached","Average",139900
2676,"Average",1955,1,9600,"Average","Basement Garage","Good",153000
3120,"Average",1969,2,11606,"Fair","Attached","Average",135000
2598,"Average",1964,2,9020,"Average","Attached","No Fireplace",168500
2386,"Average",1880,1,9000,"Excellent","Detached","No Fireplace",124000
3108,"Above Average",2006,2,4590,"Good","Attached","Good",209500
2797,"Average",1977,2,11900,"Average","Attached","Average",82500
2112,"Average",1954,1,9250,"Average","Attached","No Fireplace",139400
2112,"Average",1980,2,6979,"Average","Detached","No Fireplace",144000
4835,"Average",1914,0,10896,"Fair","No Garage","No Fireplace",200000
1064,"Below Average",1936,0,6120,"Fair","No Garage","Poor",60000
2198,"Below Average",1954,1,6000,"Good","Built In","No Fireplace",93000
1592,"Average",1910,0,8777,"Average","No Garage","No Fireplace",85000
3087,"Above Average",2006,3,3982,"Excellent","Attached","Good",264561
3036,"Above Average",2003,2,12677,"Excellent","Attached","Good",274000
2986,"Average",2001,2,7050,"Good","Attached","Average",226000
4656,"Above Average",1972,2,13860,"Excellent","Attached","Average",345000
2400,"Average",1969,2,10793,"Average","Attached","No Fireplace",152000
3532,"Above Average",2009,3,9187,"Excellent","Attached","Good",370878
1962,"Average",1971,2,10530,"Average","Detached","No Fireplace",143250
1048,"Average",1950,2,7200,"Average","Detached","No Fireplace",98300
2188,"Average",1953,2,10452,"Average","Attached","Good",155000
2595,"Average",1966,2,7700,"Average","Attached","Average",155000
1260,"Average",1970,0,1936,"Average","No Garage","No Fireplace",84500
2478,"Average",2007,2,8125,"Good","Attached","No Fireplace",205950
2265,"Average",1940,1,9084,"Average","Detached","Good",108000
2596,"Average",1996,2,8750,"Good","Attached","Average",191000
2225,"Average",1906,1,10320,"Average","Detached","No Fireplace",135000
4222,"Above Average",1995,3,10437,"Good","Attached","Average",350000
1617,"Average",1971,1,1680,"Average","Detached","No Fireplace",88000
2106,"Average",1959,1,10007,"Good","Attached","No Fireplace",145500
2278,"Average",1931,1,7200,"Average","Attached","Good",149000
2370,"Average",1948,1,17503,"Average","Attached","Good",97500
2972,"Average",1964,2,9937,"Average","Detached","No Fireplace",167000
2728,"Average",1976,2,12384,"Average","Attached","Average",197900
4077,"Above Average",1994,3,46589,"Good","Attached","Average",402000
2784,"Below Average",1968,2,13560,"Average","Attached","Average",110000
2319,"Average",1972,2,10012,"Average","Detached","No Fireplace",137500
4174,"Above Average",2005,3,20896,"Excellent","Attached","Excellent",423000
3342,"Above Average",2000,2,11194,"Good","Attached","Average",230500
3401,"Average",1965,2,18450,"Average","Car Port","Poor",129000
3087,"Average",1994,2,8125,"Good","Attached","Fair",193500
2625,"Average",1956,2,14175,"Average","Detached","Average",168000
1880,"Average",1922,1,11600,"Fair","Detached","Good",137500
2214,"Average",2005,2,8633,"Good","Attached","No Fireplace",173500
2041,"Average",1925,1,6629,"Average","Detached","No Fireplace",103600
2416,"Average",1977,2,11250,"Average","Attached","Average",165000
3316,"Average",1957,2,14442,"Good","Attached","Average",257500
2272,"Average",1965,1,9200,"Average","Attached","Good",140000
2296,"Average",1978,2,2289,"Average","Attached","Average",148500
2869,"Below Average",1900,3,9600,"Average","2+ Garages","No Fireplace",87000
1560,"Average",1924,1,9022,"Good","Detached","No Fireplace",109500
4092,"Above Average",2008,3,11844,"Good","Attached","Good",372500
1976,"Average",1961,2,9945,"Average","Detached","No Fireplace",128500
1846,"Average",1980,1,8012,"Average","Attached","Average",143000
2313,"Average",1932,1,4500,"Average","Detached","No Fireplace",159434
2582,"Average",1996,2,2887,"Good","Attached","Good",173000
3294,"Above Average",2002,3,11248,"Good","Attached","Average",285000
3034,"Average",1998,2,16770,"Average","Attached","No Fireplace",221000
3280,"Average",1984,2,5062,"Good","Attached","Average",207500
2635,"Average",2007,2,10207,"Good","Attached","No Fireplace",227875
1653,"Average",2004,2,5105,"Good","Detached","No Fireplace",148800
2838,"Above Average",2007,2,8089,"Good","Attached","Good",392000
2724,"Average",2005,2,7577,"Good","Attached","Good",194700
1696,"Average",2004,2,4426,"Good","Attached","Average",141000
6760,"Above Average",1994,3,21535,"Excellent","Attached","Excellent",755000
3729,"Average",1989,2,26178,"Good","Attached","Good",335000
2146,"Average",1921,1,5400,"Average","Detached","No Fireplace",108480
2466,"Average",1936,2,6120,"Average","Detached","No Fireplace",141500
2249,"Average",1987,2,13811,"Good","Attached","Average",176000
1232,"Average",1921,1,6000,"Average","Detached","No Fireplace",89000
2128,"Average",1952,1,6420,"Average","Detached","No Fireplace",123500
1788,"Average",1965,1,8450,"Average","Detached","Good",138500
2782,"Average",2004,2,4282,"Good","Attached","No Fireplace",196000
3600,"Above Average",2002,3,14331,"Good","Attached","Good",312500
2328,"Average",1969,2,9600,"Average","Attached","No Fireplace",140000
3810,"Above Average",2006,3,12438,"Excellent","Built In","Good",361919
2172,"Average",1900,2,7630,"Good","Detached","Poor",140000
2957,"Average",2004,2,8400,"Good","Attached","No Fireplace",213000
1092,"Average",1930,0,5600,"Fair","No Garage","No Fireplace",55000
3467,"Average",1971,2,115149,"Good","Attached","Average",302000
2648,"Above Average",2006,2,6240,"Good","Attached","Good",254000
2184,"Average",2007,2,9018,"Good","Attached","Good",179540
1780,"Average",1966,1,7162,"Average","Attached","No Fireplace",109900
999,"Average",1935,0,4130,"Average","No Garage","No Fireplace",52000
2037,"Average",1900,1,8712,"Average","Detached","No Fireplace",102776
2456,"Above Average",1988,2,4671,"Good","Attached","Good",189000
1920,"Average",1970,2,9873,"Average","Detached","No Fireplace",129000
2204,"Average",1976,2,13517,"Good","Attached","No Fireplace",130500
2414,"Average",1974,2,10140,"Average","Attached","Average",165000
3272,"Average",1890,2,10800,"Average","Detached","No Fireplace",159500
2354,"Average",1973,2,10000,"Good","Attached","Fair",157000
3729,"Average",1993,3,10542,"Good","Attached","Average",341000
1942,"Average",1969,1,9920,"Average","Attached","Poor",128500
3484,"Above Average",1985,2,6563,"Good","Attached","Average",275000
1696,"Average",2004,2,4426,"Good","Attached","No Fireplace",143000
1728,"Average",1970,2,8120,"Average","Detached","No Fireplace",124500
2411,"Average",1954,1,8172,"Average","Detached","No Fireplace",135000
3396,"Above Average",2007,3,13286,"Excellent","Attached","Good",320000
1728,"Average",1970,2,6960,"Good","Detached","No Fireplace",120500
2560,"Average",1988,2,21695,"Good","Attached","Good",222000
2464,"Average",2007,2,7314,"Good","Attached","No Fireplace",194500
3360,"Average",1958,3,11475,"Average","Detached","No Fireplace",110000
1988,"Average",1925,2,6240,"Average","Detached","No Fireplace",103000
3211,"Above Average",1995,2,5389,"Good","Attached","Average",236500
2014,"Average",2003,2,9590,"Good","Attached","Good",187500
3184,"Average",1998,2,11404,"Good","Attached","Average",222500
2008,"Average",1961,1,10000,"Average","Attached","Average",131400
1896,"Average",1968,1,8978,"Average","Attached","No Fireplace",108000
2648,"Average",1914,2,10800,"Average","Detached","Average",163000
1040,"Below Average",1950,2,8544,"Average","Detached","No Fireplace",93500
2694,"Above Average",2005,3,10463,"Good","Attached","Good",239900
2400,"Average",1987,0,10800,"Average","No Garage","No Fireplace",179000
2592,"Average",2004,2,9313,"Good","Attached","No Fireplace",190000
1696,"Average",1910,2,9600,"Average","Detached","No Fireplace",132000
1824,"Average",1961,1,6768,"Good","Detached","No Fireplace",142000
2698,"Average",2000,2,8450,"Average","Attached","No Fireplace",179000
1984,"Average",1963,2,12886,"Average","Attached","Average",175000
2674,"Above Average",1993,2,5395,"Good","Attached","Average",180000
3857,"Above Average",1976,2,8963,"Good","Built In","Average",299800
3208,"Average",2000,2,8795,"Good","Built In","Average",236000
3880,"Average",1880,4,11700,"Good","Detached","Good",265979
3440,"Average",1996,2,10593,"Good","Attached","Average",260400
1529,"Below Average",1945,1,8405,"Average","Detached","No Fireplace",98000
1716,"Average",1910,0,8800,"Average","No Garage","No Fireplace",96500
1980,"Average",2003,2,7750,"Good","Attached","No Fireplace",162000
2973,"Average",1997,2,9236,"Good","Attached","No Fireplace",217000
3128,"Above Average",2005,3,10240,"Excellent","Attached","Good",275500
2052,"Average",1969,2,7930,"Good","Detached","No Fireplace",156000
2200,"Average",1999,2,3230,"Average","Detached","No Fireplace",172500
2634,"Above Average",2007,2,10769,"Good","Attached","No Fireplace",212000
2058,"Average",1978,2,11616,"Average","Attached","Average",158900
2245,"Average",1999,2,2280,"Average","Detached","No Fireplace",179400
3849,"Above Average",1995,3,12257,"Good","Attached","Average",290000
1728,"Average",1959,1,9100,"Average","Detached","No Fireplace",127500
2446,"Average",1924,2,6911,"Fair","Detached","No Fireplace",100000
2303,"Average",2009,2,8640,"Good","Attached","No Fireplace",215200
3617,"Above Average",1999,3,9430,"Good","Attached","Good",337000
2988,"Above Average",1995,2,9549,"Excellent","Attached","Good",270000
3004,"Above Average",2008,2,14587,"Excellent","Attached","Good",264132
2694,"Average",1988,2,10421,"Average","Attached","Average",196500
2733,"Average",1940,1,12508,"Average","Attached","No Fireplace",160000
3696,"Average",2004,2,9100,"Good","Attached","Good",216837
4929,"Above Average",2003,3,53504,"Excellent","Built In","Good",538000
1716,"Average",1982,2,7252,"Average","Detached","No Fireplace",134900
2056,"Average",1951,2,8877,"Average","Detached","No Fireplace",102000
2146,"Average",1976,2,7819,"Average","Detached","Average",107000
1824,"Average",1958,1,10150,"Average","Attached","No Fireplace",114500
3908,"Above Average",2006,3,14226,"Good","Attached","Good",395000
2408,"Average",1998,2,4500,"Average","Attached","No Fireplace",162000
3228,"Average",2005,3,11210,"Good","Attached","No Fireplace",221500
1758,"Average",1974,2,13350,"Average","Attached","Fair",142500
2020,"Average",1977,2,8400,"Average","Detached","Average",144000
1979,"Average",1977,2,10530,"Average","Attached","No Fireplace",135000
2490,"Average",1995,2,7875,"Average","Attached","Average",176000
2364,"Average",1992,2,7153,"Good","Attached","No Fireplace",175900
2843,"Average",2001,2,16285,"Good","Attached","No Fireplace",187100
2207,"Average",1978,2,9101,"Good","Attached","Average",165500
2226,"Average",1914,0,6300,"Average","No Garage","Good",128000
2714,"Average",1967,2,9790,"Average","Attached","Good",161500
2338,"Average",1915,1,10800,"Average","Detached","No Fireplace",139000
3040,"Average",2004,2,10142,"Good","Built In","No Fireplace",233000
1802,"Average",1954,1,6000,"Average","Detached","No Fireplace",107900
2919,"Average",1966,2,12205,"Good","Attached","No Fireplace",187500
2290,"Average",2005,2,3182,"Good","Attached","Good",160200
2091,"Average",1976,2,11333,"Average","Attached","Average",146800
3130,"Average",1996,2,9920,"Average","Attached","Average",269790
2992,"Above Average",2007,2,9158,"Good","Attached","No Fireplace",225000
2607,"Average",1994,2,10832,"Good","Attached","Average",194500
2214,"Average",1980,2,8400,"Average","Attached","Average",171000
1945,"Average",1977,2,8197,"Average","Attached","Average",143500
1546,"Average",1953,1,7677,"Average","Attached","No Fireplace",110000
5066,"Above Average",2008,3,13518,"Excellent","Built In","Good",485000
2499,"Average",1937,1,7200,"Good","Detached","Average",175000
2304,"Average",1997,2,12798,"Good","Attached","No Fireplace",200000
2392,"Average",1916,2,4800,"Average","Detached","No Fireplace",109900
2184,"Average",2005,2,8199,"Good","Attached","Good",189000
4556,"Above Average",2008,3,13891,"Excellent","Built In","Good",582933
2064,"Average",1954,1,9000,"Average","Attached","No Fireplace",118000
2845,"Average",2008,2,12274,"Excellent","Attached","No Fireplace",227680
1960,"Average",1967,1,9750,"Average","Attached","No Fireplace",135500
2900,"Average",1923,2,21384,"Good","Attached","Average",223500
2110,"Average",1966,2,13400,"Average","Attached","Good",159950
2987,"Average",1898,2,8100,"Average","Detached","No Fireplace",106000
2349,"Average",1974,2,10140,"Good","Attached","Fair",181000
1696,"Average",2004,2,4438,"Good","Attached","Good",144500
1584,"Average",1952,2,8712,"Fair","Basement Garage","No Fireplace",55993
2884,"Average",1958,1,9750,"Average","Attached","No Fireplace",157900
1936,"Average",1918,1,8248,"Fair","Detached","No Fireplace",116000
3310,"Average",1998,2,12137,"Good","Attached","No Fireplace",224900
2016,"Average",1954,1,11425,"Average","Attached","Good",137000
3257,"Above Average",2002,3,13265,"Good","Attached","Good",271000
2062,"Average",1971,2,8816,"Average","Attached","No Fireplace",155000
2716,"Average",2009,2,6371,"Good","Attached","Good",224000
2438,"Average",2003,2,7226,"Good","Attached","No Fireplace",183000
1872,"Below Average",1953,2,6000,"Average","Detached","No Fireplace",93000
2580,"Average",2003,2,12394,"Good","Built In","Good",225000
2267,"Average",1940,1,9900,"Average","Detached","Good",139500
2978,"Above Average",2006,2,11216,"Good","Attached","Good",232600
4162,"Above Average",2007,3,14803,"Excellent","Attached","Good",385000
1568,"Average",1924,0,6130,"Good","No Garage","No Fireplace",109500
2888,"Average",2001,2,8529,"Good","Attached","Average",189000
3139,"Average",1967,2,28698,"Average","Attached","No Fireplace",185000
1823,"Average",2005,2,2544,"Good","Detached","No Fireplace",147400
2784,"Average",1957,2,11900,"Average","Attached","Good",166000
1800,"Average",2005,2,3180,"Good","Detached","No Fireplace",151000
2770,"Average",2003,2,9548,"Good","Attached","Average",237000
3032,"Average",1964,2,10004,"Average","Attached","No Fireplace",167000
2288,"Average",1961,2,7875,"Average","Attached","No Fireplace",139950
2134,"Average",1950,2,9600,"Good","Attached","No Fireplace",128000
3118,"Average",1948,2,8100,"Average","Detached","No Fireplace",153500
1470,"Average",1973,1,1680,"Average","Detached","No Fireplace",100000
2198,"Average",1995,1,9525,"Good","Attached","No Fireplace",144000
1968,"Average",1946,1,11767,"Average","Detached","No Fireplace",130500
2154,"Average",1925,1,12155,"Fair","Detached","No Fireplace",140000
2189,"Average",1904,2,10440,"Good","Detached","Poor",157500
2292,"Average",1966,2,9020,"Average","Attached","No Fireplace",174900
3600,"Below Average",1961,0,8000,"Average","No Garage","No Fireplace",141000
2292,"Average",1915,3,12665,"Average","Detached","Good",153900
3091,"Average",1975,2,16647,"Average","Basement Garage","Average",171000
2515,"Average",1993,2,9317,"Good","Attached","Average",213000
1728,"Average",1972,1,15523,"Average","Attached","Fair",133500
3265,"Average",1908,2,45600,"Average","Detached","Good",240000
2383,"Average",1976,2,9600,"Average","Attached","Average",187000
1696,"Average",2003,2,4435,"Good","Attached","No Fireplace",131500
2729,"Above Average",2003,2,3196,"Good","Attached","Average",215000
2564,"Average",1941,1,7128,"Average","Detached","Good",164000
2572,"Average",1964,2,12095,"Average","Attached","Fair",158000
3542,"Below Average",1955,2,17920,"Average","Attached","Good",170000
2080,"Average",1962,1,6897,"Average","Detached","No Fireplace",127000
1966,"Average",1978,2,10970,"Average","Detached","No Fireplace",147000
2183,"Average",1994,2,8125,"Average","Attached","Average",174000
2460,"Average",1976,2,10400,"Average","Attached","Average",152000
3708,"Average",1968,2,11029,"Good","Attached","Good",250000
2338,"Average",1918,1,7642,"Good","Detached","Good",189950
2078,"Below Average",1965,2,11625,"Average","Attached","No Fireplace",131500
2137,"Average",1984,2,9672,"Average","Attached","No Fireplace",152000
2296,"Average",1959,1,7931,"Average","Attached","No Fireplace",132500
2744,"Average",2007,2,8640,"Good","Attached","No Fireplace",250580
2004,"Average",1970,2,8750,"Average","Detached","No Fireplace",148500
3284,"Above Average",2006,3,10656,"Good","Attached","Good",248900
2160,"Average",1961,2,6970,"Fair","Attached","No Fireplace",129000
2320,"Average",1948,2,14762,"Average","Attached","Average",169000
2999,"Average",1993,2,9938,"Good","Attached","Average",236000
1788,"Average",1962,1,6600,"Average","Detached","No Fireplace",109500
2486,"Average",1998,2,8750,"Good","Attached","No Fireplace",200500
1015,"Average",1953,2,8892,"Good","Attached","No Fireplace",116000
2100,"Average",1949,1,12144,"Average","Attached","Good",133000
1807,"Average",1941,1,5720,"Average","Detached","No Fireplace",66500
3794,"Above Average",2007,2,9000,"Excellent","Built In","Good",303477
2104,"Average",1963,2,25286,"Average","Attached","No Fireplace",132250
3686,"Above Average",2004,3,8834,"Excellent","Attached","Good",350000
2264,"Average",1961,2,11782,"Good","Detached","No Fireplace",148000
